0 85 217 Infinity 173 Infinity Infinity Infinity Infinity Infinity Infinity
85 0 Infinity Infinity Infinity Infinity Infinity Infinity Infinity Infinity 600
217 Infinity 0 Infinity Infinity Infinity 186 103 Infinity Infinity Infinity
Infinity Infinity Infinity 0 Infinity Infinity Infinity 183 Infinity Infinity Infinity
173 Infinity Infinity Infinity 0 Infinity Infinity Infinity Infinity 502 Infinity
Infinity Infinity Infinity Infinity Infinity 0 Infinity Infinity 250 Infinity Infinity
Infinity Infinity 186 Infinity Infinity Infinity 0 Infinity Infinity Infinity Infinity
Infinity Infinity 103 183 Infinity Infinity Infinity 0 Infinity Infinity Infinity
Infinity Infinity Infinity Infinity Infinity 250 Infinity Infinity 0 84 Infinity
Infinity Infinity Infinity Infinity 502 Infinity Infinity Infinity 84 0 40
Infinity 600 Infinity Infinity Infinity Infinity Infinity Infinity Infinity 40 0


